insider,vector,date,user,source,action
0,1,1262422015000,691,178,1100
0,1,1262422040000,353,609,444
0,1,1262422040000,713,452,578
0,1,1262422043000,17,769,291
0,1,1262422052000,17,769,997
0,1,1262422072000,17,769,616
0,1,1262422100000,353,609,444
0,1,1262422100000,713,452,578
0,1,1262422103000,17,769,291
0,1,1262422123000,691,178,239
0,1,1262422139000,424,108,808
0,1,1262422183000,691,178,239
0,1,1262422200000,691,178,167
0,1,1262422222000,691,178,779
0,1,1262422260000,691,178,167
0,1,1262422277000,641,282,256
0,1,1262422282000,691,178,779
0,1,1262422314000,166,628,799
0,1,1262422337000,686,122,256
0,1,1262422374000,166,628,799
0,1,1262422404000,166,628,443
0,1,1262422443000,221,150,884
0,1,1262422458000,75,70,1206
0,1,1262422464000,166,628,443
0,1,1262422503000,221,150,884
0,1,1262422517000,166,628,443
0,1,1262422577000,166,628,443
0,1,1262422814000,292,552,485
0,1,1262422858000,321,362,1012
0,1,1262422867000,20,95,396
0,1,1262422874000,292,552,485
0,1,1262422918000,321,362,1012
0,1,1262422991000,0,454,713
0,1,1262422992000,166,628,965
0,1,1262423052000,166,628,965
0,1,1262423167000,424,108,1181
0,1,1262423274000,20,95,891
0,1,1262423326000,229,492,176
0,1,1262423386000,229,492,176
0,1,1262423547000,438,398,796
0,1,1262423603000,438,398,1131
0,1,1262423607000,438,398,796
0,1,1262423641000,438,398,336
0,1,1262423663000,438,398,1131
0,1,1262423664000,106,587,1057
0,1,1262423685000,469,553,527
0,1,1262423701000,438,398,336
0,1,1262423716000,353,609,639
0,1,1262423753000,106,587,1271
0,1,1262423758000,438,398,646
0,1,1262423776000,353,609,639
0,1,1262423778000,641,282,956
0,1,1262423818000,438,398,646
0,1,1262423830000,438,398,410
0,1,1262423838000,542,638,956
0,1,1262423855000,353,609,67
0,1,1262423890000,438,398,410
0,1,1262423902000,321,362,460
0,1,1262423906000,291,176,482
0,1,1262423913000,729,547,303
0,1,1262423915000,353,609,67
0,1,1262423915000,557,610,67
0,1,1262423927000,245,691,1227
0,1,1262423930000,245,691,739
0,1,1262423932000,245,691,1047
0,1,1262423962000,321,362,460
0,1,1262423983000,729,547,1016
0,1,1262423990000,174,278,1167
0,1,1262424055000,652,167,951
0,1,1262424115000,652,167,951
0,1,1262424156000,589,536,985
0,1,1262424173000,729,547,404
0,1,1262424174000,353,609,200
0,1,1262424176000,729,547,1016
0,1,1262424178000,729,547,1164
0,1,1262424179000,729,547,977
0,1,1262424216000,589,536,985
0,1,1262424232000,605,240,1133
0,1,1262424234000,353,609,200
0,1,1262424237000,729,547,1359
0,1,1262424292000,605,240,1133
0,1,1262424346000,424,108,462
0,1,1262424515000,438,398,1131
0,1,1262424575000,438,398,1131
0,1,1262424590000,321,362,460
0,1,1262424645000,544,170,349
0,1,1262424650000,321,362,460
0,1,1262424679000,438,398,715
0,1,1262424705000,484,259,349
0,1,1262424723000,589,536,1092
0,1,1262424739000,75,70,428
0,1,1262424739000,438,398,715
0,1,1262424744000,438,398,804
0,1,1262424783000,589,536,1092
0,1,1262424804000,438,398,804
0,1,1262424822000,544,170,912
0,1,1262424823000,544,170,1007
0,1,1262424840000,438,398,180
0,1,1262424841000,544,170,1195
0,1,1262424844000,353,609,639
0,1,1262424861000,605,240,1133
0,1,1262424869000,174,278,1244
0,1,1262424874000,544,170,1344
0,1,1262424882000,484,259,912
0,1,1262424883000,484,259,1007
0,1,1262424889000,589,536,839
0,1,1262424900000,438,398,180
0,1,1262424903000,438,398,1131
0,1,1262424904000,353,609,639
0,1,1262424910000,508,809,110
0,1,1262424921000,605,240,1133
0,1,1262424943000,438,398,876
0,1,1262424949000,453,105,839
0,1,1262424949000,589,536,839
0,1,1262424963000,438,398,1131
0,1,1262424971000,438,398,391
0,1,1262424985000,353,609,1141
0,1,1262424993000,199,687,301
0,1,1262425003000,438,398,876
0,1,1262425005000,313,537,715
0,1,1262425027000,652,167,973
0,1,1262425031000,438,398,391
0,1,1262425045000,353,609,1141
0,1,1262425045000,557,610,1141
0,1,1262425065000,313,537,715
0,1,1262425087000,652,167,973
0,1,1262425104000,520,46,358
0,1,1262425113000,438,398,180
0,1,1262425151000,321,362,604
0,1,1262425164000,520,46,358
0,1,1262425173000,438,398,180
0,1,1262425174000,438,398,180
0,1,1262425207000,542,638,930
0,1,1262425211000,321,362,604
0,1,1262425231000,469,553,683
0,1,1262425234000,438,398,180
0,1,1262425267000,542,638,930
0,1,1262425272000,729,547,662
0,1,1262425278000,438,398,394
0,1,1262425291000,589,536,496
0,1,1262425318000,438,398,812
0,1,1262425335000,339,232,1027
0,1,1262425338000,438,398,394
0,1,1262425351000,589,536,496
0,1,1262425357000,353,609,967
0,1,1262425378000,438,398,812
0,1,1262425380000,339,232,1167
0,1,1262425395000,339,232,1027
0,1,1262425417000,353,609,967
0,1,1262425440000,339,232,1167
0,1,1262425556000,641,282,168
0,1,1262425577000,589,536,152
0,1,1262425608000,339,232,276
0,1,1262425631000,305,622,1146
0,1,1262425637000,453,105,152
0,1,1262425637000,589,536,152
0,1,1262425652000,645,188,1174
0,1,1262425668000,339,232,276
0,1,1262425668000,383,596,276
0,1,1262425668000,553,490,276
0,1,1262425691000,305,622,1146
0,1,1262425723000,305,622,603
0,1,1262425783000,305,622,603
0,1,1262425819000,589,536,491
0,1,1262425824000,339,232,91
0,1,1262425837000,469,553,981
0,1,1262425856000,305,622,262
0,1,1262425866000,305,622,858
0,1,1262425873000,740,433,742
0,1,1262425876000,740,433,326
0,1,1262425878000,740,433,1145
0,1,1262425879000,589,536,491
0,1,1262425884000,339,232,91
0,1,1262425890000,339,232,1012
0,1,1262425893000,589,536,87
0,1,1262425895000,292,552,367
0,1,1262425916000,305,622,262
0,1,1262425926000,305,622,858
0,1,1262425936000,196,659,326
0,1,1262425945000,740,433,798
0,1,1262425950000,339,232,1012
0,1,1262425953000,589,536,87
0,1,1262425955000,292,552,367
0,1,1262425958000,652,167,119
0,1,1262425972000,740,433,30
0,1,1262425992000,740,433,742
0,1,1262426018000,10,53,119
0,1,1262426018000,652,167,119
0,1,1262426026000,740,433,1054
0,1,1262426032000,740,433,387
0,1,1262426121000,557,610,1337
0,1,1262426152000,339,232,276
0,1,1262426212000,339,232,276
0,1,1262426229000,508,809,579
0,1,1262426266000,305,622,726
0,1,1262426326000,305,622,726
0,1,1262426444000,305,622,708
0,1,1262426487000,740,433,703
0,1,1262426491000,305,622,706
0,1,1262426504000,305,622,708
0,1,1262426526000,740,433,1144
0,1,1262426551000,305,622,706
0,1,1262426601000,305,622,145
0,1,1262426620000,508,809,1088
0,1,1262426661000,305,622,145
0,1,1262426680000,420,295,1088
0,1,1262426697000,339,232,960
0,1,1262426704000,740,433,703
0,1,1262426757000,339,232,960
0,1,1262426757000,553,490,960
0,1,1262426763000,321,362,1012
0,1,1262426789000,305,622,236
0,1,1262426814000,691,178,481
0,1,1262426823000,321,362,1012
0,1,1262426849000,305,622,236
0,1,1262426865000,589,536,31
0,1,1262426874000,691,178,481
0,1,1262426894000,561,59,933
0,1,1262426925000,589,536,31
0,1,1262427050000,187,132,353
0,1,1262427101000,339,232,695
0,1,1262427110000,187,132,353
0,1,1262427161000,339,232,695
0,1,1262427167000,641,282,620
0,1,1262427402000,90,744,107
0,1,1262427403000,674,594,1081
0,1,1262427419000,652,167,837
0,1,1262427440000,339,232,1000
0,1,1262427446000,90,744,1264
0,1,1262427462000,90,744,107
0,1,1262427479000,652,167,837
0,1,1262427500000,229,492,1000
0,1,1262427500000,339,232,1000
0,1,1262427506000,90,744,1264
0,1,1262427750000,90,744,304
0,1,1262427780000,641,282,1262
0,1,1262427810000,90,744,304
0,1,1262427955000,321,362,604
0,1,1262427970000,749,56,1116
0,1,1262427983000,321,362,1012
0,1,1262428015000,321,362,604
0,1,1262428030000,749,56,1116
0,1,1262428043000,321,362,1012
0,1,1262428048000,90,744,303
0,1,1262428108000,90,744,303
0,1,1262428374000,544,170,349
0,1,1262428396000,641,282,1265
0,1,1262428434000,484,259,349
0,1,1262428476000,641,282,870
0,1,1262428789000,166,628,799
0,1,1262428789000,641,282,59
0,1,1262428849000,166,628,799
0,1,1262428905000,561,59,26
0,1,1262428935000,166,628,1361
0,1,1262428965000,31,439,26
0,1,1262428995000,166,628,1361
0,1,1262429066000,701,224,231
0,1,1262429126000,12,154,231
0,1,1262429126000,701,224,231
0,1,1262429128000,165,255,764
0,1,1262429149000,641,282,426
0,1,1262429188000,691,178,764
0,1,1262429252000,166,628,443
0,1,1262429312000,166,628,443
0,1,1262429493000,432,219,374
0,1,1262429553000,432,219,374
0,1,1262429679000,17,769,111
0,1,1262429708000,17,769,224
0,1,1262429728000,469,553,32
0,1,1262429732000,686,122,256
0,1,1262429739000,17,769,111
0,1,1262429768000,17,769,224
0,1,1262429825000,229,492,426
0,1,1262429825000,641,282,442
0,1,1262429845000,427,71,570
0,1,1262429856000,605,240,596
0,1,1262429858000,432,219,513
0,1,1262429878000,427,71,806
0,1,1262429885000,229,492,426
0,1,1262429893000,432,219,541
0,1,1262429905000,427,71,570
0,1,1262429916000,605,240,596
0,1,1262429918000,432,219,513
0,1,1262429938000,427,71,806
0,1,1262429953000,432,219,541
0,1,1262429958000,432,219,362
0,1,1262429974000,469,553,749
0,1,1262430002000,0,454,1129
0,1,1262430007000,427,71,299
0,1,1262430008000,605,240,109
0,1,1262430018000,427,71,96
0,1,1262430018000,432,219,362
0,1,1262430067000,427,71,299
0,1,1262430068000,605,240,109
0,1,1262430078000,427,71,96
0,1,1262430079000,432,219,513
0,1,1262430139000,432,219,513
0,1,1262430534000,165,255,1048
0,1,1262430534000,641,282,512
0,1,1262430704000,641,282,59
0,1,1262430736000,477,228,34
0,1,1262430767000,75,70,408
0,1,1262430796000,477,228,34
0,1,1262430831000,469,553,981
0,1,1262430945000,55,678,562
0,1,1262430971000,166,628,443
0,1,1262431005000,394,217,562
0,1,1262431031000,166,628,443
0,1,1262431221000,601,554,1221
0,1,1262431258000,601,554,589
0,1,1262431407000,43,139,1102
0,1,1262431409000,43,139,636
0,1,1262431467000,43,139,1102
0,1,1262431469000,43,139,636
0,1,1262431508000,10,53,118
0,1,1262431537000,641,282,517
0,1,1262431568000,10,53,118
0,1,1262431578000,229,492,724
0,1,1262431607000,43,139,891
0,1,1262431626000,43,139,322
0,1,1262431638000,229,492,724
0,1,1262431667000,43,139,891
0,1,1262431686000,43,139,322
0,1,1262431700000,641,282,929
0,1,1262431708000,336,323,632
0,1,1262431726000,601,554,158
0,1,1262431731000,166,628,1237
0,1,1262431768000,336,323,632
0,1,1262431768000,365,129,632
0,1,1262431771000,196,659,1128
0,1,1262431791000,166,628,1237
0,1,1262431796000,196,659,1045
0,1,1262431800000,64,199,672
0,1,1262431808000,229,492,957
0,1,1262431826000,196,659,1145
0,1,1262431831000,196,659,1128
0,1,1262431850000,229,492,276
0,1,1262431856000,196,659,1045
0,1,1262431860000,64,199,672
0,1,1262431864000,641,282,930
0,1,1262431868000,229,492,957
0,1,1262431873000,43,139,356
0,1,1262431886000,196,659,1145
0,1,1262431886000,740,433,1145
0,1,1262431910000,229,492,276
0,1,1262431910000,339,232,276
0,1,1262431933000,43,139,356
0,1,1262431942000,196,659,741
0,1,1262431949000,303,674,1096
0,1,1262431955000,303,674,598
0,1,1262432002000,196,659,741
0,1,1262432088000,31,439,390
0,1,1262432148000,31,439,390
0,1,1262432167000,261,522,739
0,1,1262432191000,261,522,709
0,1,1262432227000,261,522,739
0,1,1262432231000,43,139,602
0,1,1262432251000,261,522,709
0,1,1262432291000,43,139,602
0,1,1262432306000,43,139,636
0,1,1262432366000,43,139,636
0,1,1262432435000,601,554,835
0,1,1262432485000,43,139,1098
0,1,1262432522000,165,255,1261
0,1,1262432545000,43,139,1098
0,1,1262432568000,601,554,1137
0,1,1262432582000,691,178,1261
0,1,1262432810000,601,554,1333
0,1,1262432852000,601,554,94
0,1,1262432870000,701,224,1333
0,1,1262432903000,43,139,679
0,1,1262432963000,43,139,679
0,1,1262433013000,383,596,189
0,1,1262433097000,261,522,1024
0,1,1262433157000,261,522,1024
0,1,1262433222000,361,280,697
0,1,1262433282000,361,280,697
0,1,1262433406000,361,280,1105
0,1,1262433463000,361,280,502
0,1,1262433466000,361,280,1105
0,1,1262433475000,361,280,1315
0,1,1262433513000,361,280,1320
0,1,1262433516000,453,105,478
0,1,1262433523000,361,280,502
0,1,1262433530000,453,105,234
0,1,1262433535000,361,280,1315
0,1,1262433539000,453,105,202
0,1,1262433573000,361,280,1320
0,1,1262433576000,453,105,478
0,1,1262433590000,453,105,234
0,1,1262433599000,453,105,202
0,1,1262390433000,336,323,1169
0,1,1262390466000,336,323,849
0,1,1262390493000,336,323,1169
0,1,1262390526000,336,323,849
0,1,1262390657000,453,105,137
0,1,1262390702000,734,143,547
0,1,1262390717000,453,105,137
0,1,1262390762000,734,143,547
0,1,1262390803000,645,188,681
0,1,1262390806000,453,105,248
0,1,1262390866000,453,105,248
0,1,1262390955000,261,522,424
0,1,1262390959000,645,188,693
0,1,1262391015000,261,522,424
0,1,1262391034000,469,553,572
0,1,1262391131000,165,255,451
0,1,1262391186000,734,143,1215
0,1,1262391189000,645,188,250
0,1,1262391228000,165,255,681
0,1,1262391236000,165,255,69
0,1,1262391246000,734,143,1215
0,1,1262391268000,645,188,700
0,1,1262391277000,165,255,1233
0,1,1262391277000,199,687,940
0,1,1262391350000,165,255,207
0,1,1262391392000,453,105,491
0,1,1262391438000,261,522,458
0,1,1262391452000,453,105,491
0,1,1262391498000,261,522,458
0,1,1262391507000,645,188,681
0,1,1262391526000,165,255,826
0,1,1262391557000,453,105,193
0,1,1262391617000,453,105,193
0,1,1262391640000,453,105,592
0,1,1262391700000,453,105,592
0,1,1262391740000,453,105,1043
0,1,1262391753000,645,188,354
0,1,1262391787000,453,105,363
0,1,1262391800000,453,105,1043
0,1,1262391844000,261,522,908
0,1,1262391847000,453,105,363
0,1,1262391876000,700,846,1210
0,1,1262391904000,245,691,908
0,1,1262391904000,261,522,908
0,1,1262391904000,734,143,908
0,1,1262391936000,700,846,1210
0,1,1262391937000,62,209,1110
0,1,1262392068000,700,846,730
0,1,1262392089000,645,188,764
0,1,1262392128000,395,623,730
0,1,1262392128000,700,846,730
0,1,1262392167000,583,787,148
0,1,1262392187000,71,436,571
0,1,1262392205000,71,436,881
0,1,1262392227000,472,647,148
0,1,1262392227000,583,787,148
0,1,1262392254000,645,188,1231
0,1,1262392260000,71,436,481
0,1,1262392288000,71,436,946
0,1,1262392289000,71,436,241
0,1,1262392310000,71,436,1005
0,1,1262392320000,369,432,481
0,1,1262392367000,71,436,830
0,1,1262392377000,71,436,481
0,1,1262392399000,71,436,886
0,1,1262392417000,71,436,1267
0,1,1262392427000,477,228,830
0,1,1262392459000,71,436,569
0,1,1262392466000,645,188,700
0,1,1262392634000,365,129,848
0,1,1262392871000,700,846,922
0,1,1262392931000,700,846,922
0,1,1262393054000,656,340,802
0,1,1262393114000,656,340,802
0,1,1262393230000,700,846,898
0,1,1262393270000,700,846,64
0,1,1262393290000,700,846,898
0,1,1262393330000,700,846,64
0,1,1262393407000,583,787,611
0,1,1262393450000,469,553,527
0,1,1262393467000,583,787,611
0,1,1262393551000,645,188,143
0,1,1262393631000,427,71,760
0,1,1262393631000,645,188,692
0,1,1262393648000,427,71,173
0,1,1262393691000,427,71,760
0,1,1262393708000,427,71,173
0,1,1262393720000,653,630,1267
0,1,1262393780000,653,630,1267
0,1,1262393815000,448,94,604
0,1,1262393873000,303,674,368
0,1,1262393875000,448,94,604
0,1,1262393893000,394,217,259
0,1,1262393916000,653,630,446
0,1,1262393932000,303,674,975
0,1,1262393953000,394,217,259
0,1,1262393976000,653,630,446
0,1,-9223372036855,448,94,163
0,1,-9223372036855,394,217,1094
0,1,-9223372036855,700,846,1016
0,1,-9223372036855,394,217,400
0,1,-9223372036855,239,494,238
0,1,-9223372036855,448,94,163
0,1,-9223372036855,448,94,287
0,1,-9223372036855,448,94,604
0,1,-9223372036855,394,217,1094
0,1,-9223372036855,700,846,1016
0,1,-9223372036855,174,278,400
0,1,-9223372036855,199,687,400
0,1,-9223372036855,394,217,400
0,1,-9223372036855,303,674,756
0,1,-9223372036855,239,494,238
0,1,-9223372036855,303,674,1229
0,1,-9223372036855,448,94,287
0,1,-9223372036855,448,94,604
0,1,-9223372036855,432,219,756
0,1,-9223372036855,245,691,1197
0,1,-9223372036855,245,691,1228
0,1,-9223372036855,245,691,1024
0,1,-9223372036855,583,787,899
0,1,-9223372036855,575,5,755
0,1,-9223372036855,583,787,899
0,1,-9223372036855,432,219,755
0,1,-9223372036855,653,630,263
0,1,-9223372036855,700,846,1292
0,1,-9223372036855,700,846,530
0,1,-9223372036855,653,630,263
0,1,-9223372036855,700,846,1292
0,1,-9223372036855,700,846,319
0,1,-9223372036855,700,846,530
0,1,-9223372036855,295,643,193
0,1,-9223372036855,303,674,877
0,1,-9223372036855,448,94,318
0,1,-9223372036855,395,623,319
0,1,-9223372036855,700,846,319
0,1,-9223372036855,303,674,476
0,1,-9223372036855,575,5,877
0,1,-9223372036855,448,94,318
0,1,-9223372036855,653,630,446
0,1,-9223372036855,432,219,877
0,1,-9223372036855,448,94,1106
0,1,-9223372036855,653,630,446
0,1,-9223372036855,303,674,139
0,1,-9223372036855,448,94,1106
0,1,-9223372036855,542,638,930
0,1,-9223372036855,542,638,512
0,1,-9223372036855,432,219,139
0,1,-9223372036855,303,674,262
0,1,-9223372036855,700,846,613
0,1,-9223372036855,653,630,425
0,1,-9223372036855,700,846,613
0,1,-9223372036855,448,94,604
0,1,-9223372036855,653,630,425
0,1,-9223372036855,303,674,1339
0,1,-9223372036855,653,630,426
0,1,-9223372036855,448,94,604
0,1,-9223372036855,700,846,1089
0,1,-9223372036855,653,630,426
0,1,-9223372036855,508,809,1089
0,1,-9223372036855,700,846,1089
0,1,-9223372036855,653,630,1268
0,1,-9223372036855,653,630,1268
0,1,-9223372036855,589,536,93
0,1,-9223372036855,303,674,701
0,1,-9223372036855,448,94,376
0,1,-9223372036855,64,199,425
0,1,-9223372036855,589,536,93
0,1,-9223372036855,303,674,1323
0,1,-9223372036855,448,94,376
0,1,-9223372036855,448,94,893
0,1,-9223372036855,64,199,425
0,1,-9223372036855,448,94,893
0,1,-9223372036855,303,674,1051
0,1,-9223372036855,575,5,1051
0,1,-9223372036855,310,212,465
0,1,-9223372036855,310,212,465
0,1,-9223372036855,553,490,1139
0,1,-9223372036855,230,645,1010
0,1,-9223372036855,64,199,676
0,1,-9223372036855,230,645,386
0,1,-9223372036855,310,212,465
0,1,-9223372036855,230,645,1010
0,1,-9223372036855,310,212,1267
0,1,-9223372036855,230,645,1303
0,1,-9223372036855,64,199,676
0,1,-9223372036855,230,645,1125
0,1,-9223372036855,453,105,1075
0,1,-9223372036855,230,645,386
0,1,-9223372036855,310,212,465
0,1,-9223372036855,230,645,931
0,1,-9223372036855,310,212,1267
0,1,-9223372036855,230,645,1303
0,1,-9223372036855,230,645,1125
0,1,-9223372036855,453,105,1075
0,1,-9223372036855,230,645,931
0,1,-9223372036855,310,212,1223
0,1,-9223372036855,230,645,1327
0,1,-9223372036855,700,846,1088
0,1,-9223372036855,310,212,1223
0,1,-9223372036855,230,645,1327
0,1,-9223372036855,64,199,206
0,1,-9223372036855,230,645,1079
0,1,-9223372036855,230,645,1291
0,1,-9223372036855,700,846,1088
0,1,-9223372036855,64,199,171
0,1,-9223372036855,64,199,206
0,1,-9223372036855,230,645,1079
0,1,-9223372036855,230,645,1291
0,1,-9223372036855,230,645,1069
0,1,-9223372036855,700,846,148
0,1,-9223372036855,64,199,171
0,1,-9223372036855,64,199,290
0,1,-9223372036855,230,645,1069
0,1,-9223372036855,230,645,539
0,1,-9223372036855,230,645,931
0,1,-9223372036855,700,846,148
0,1,-9223372036855,64,199,290
0,1,-9223372036855,230,645,539
0,1,-9223372036855,292,552,539
0,1,-9223372036855,656,340,315
0,1,-9223372036855,656,340,802
0,1,-9223372036855,230,645,931
0,1,-9223372036855,230,645,714
0,1,-9223372036855,90,744,906
0,1,-9223372036855,656,340,315
0,1,-9223372036855,656,340,802
0,1,-9223372036855,230,645,714
0,1,-9223372036855,90,744,906
0,1,-9223372036855,605,240,26
0,1,-9223372036855,245,691,1024
0,1,-9223372036855,31,439,26
0,1,-9223372036855,605,240,26
0,1,-9223372036855,656,340,315
0,1,-9223372036855,700,846,533
0,1,-9223372036855,110,675,256
0,1,-9223372036855,656,340,315
0,1,-9223372036855,656,340,987
0,1,-9223372036855,700,846,533
0,1,-9223372036855,293,784,280
0,1,-9223372036855,361,280,1122
0,1,-9223372036855,656,340,987
0,1,-9223372036855,656,340,1070
0,1,-9223372036855,293,784,280
0,1,-9223372036855,361,280,502
0,1,-9223372036855,230,645,1214
0,1,-9223372036855,361,280,1122
0,1,-9223372036855,656,340,1070
0,1,-9223372036855,361,280,502
0,1,-9223372036855,230,645,1214
